fact_id,question,template,gold_answer,direct_model_answer,relative_model_answer,direct_correct,relative_correct,model
run_0007,List the events in chronological order.,order.full,"Selma to Montgomery Marches, War and Peace published, Human genome project completed, Euro currency introduced, League of Nations founded, Nobel to Toni Morrison, South Sea Bubble bursts, American Civil War ends, First Commercial Jet Flight, Industrial Revolution begins, First Daytona 500 race","Selma to Montgomery Marches, War and Peace published, Human genome project completed, Euro currency introduced, League of Nations founded, Nobel to Toni Morrison, South Sea Bubble bursts, American Civil War ends, First Commercial Jet Flight, Industrial Revolution begins, First Daytona 500 race","Selma to Montgomery Marches, War and Peace published, Human genome project completed, Euro currency introduced, League of Nations founded, Nobel to Toni Morrison, South Sea Bubble bursts, American Civil War ends, First Commercial Jet Flight, Industrial Revolution begins, First Daytona 500 race",1,1,gemini:gemini-2.0-flash
run_0007,What is the reverse order of the events?,order.reverse,"First Daytona 500 race, Industrial Revolution begins, First Commercial Jet Flight, American Civil War ends, South Sea Bubble bursts, Nobel to Toni Morrison, League of Nations founded, Euro currency introduced, Human genome project completed, War and Peace published, Selma to Montgomery Marches","Industrial Revolution begins, First Daytona 500 race, First Commercial Jet Flight, American Civil War ends, South Sea Bubble bursts, Nobel to Toni Morrison, League of Nations founded, Euro currency introduced, Human genome project completed, War and Peace published, Selma to Montgomery Marches","Human genome project completed, Euro currency introduced, League of Nations founded, Nobel to Toni Morrison, South Sea Bubble bursts, American Civil War ends, First Commercial Jet Flight, Industrial Revolution begins, First Daytona 500 race, War and Peace published, Selma to Montgomery Marches",0,0,gemini:gemini-2.0-flash
run_0007,Tell me the 1st event in order.,order.nth,Selma to Montgomery Marches,Selma to Montgomery Marches,Selma to Montgomery Marches,1,1,gemini:gemini-2.0-flash
run_0007,What was the duration of League of Nations founded?,dur.single,20 days,20 days,20 days,1,1,gemini:gemini-2.0-flash
run_0007,What event had the maximum duration?,dur.longest,South Sea Bubble bursts,South Sea Bubble bursts,South Sea Bubble bursts,1,1,gemini:gemini-2.0-flash
run_0007,Identify the shortest-lasting event.,dur.shortest,First Daytona 500 race,First Daytona 500 race,First Daytona 500 race,1,1,gemini:gemini-2.0-flash
run_0007,"What occurred earlier, Human genome project completed or American Civil War ends?",order.first,Human genome project completed,Human genome project completed,American Civil War ends,1,0,gemini:gemini-2.0-flash
run_0007,Which events are at the start and end of the timeline?,order.first_last,"Selma to Montgomery Marches, First Daytona 500 race","Selma to Montgomery Marches, First Daytona 500 race","Nobel to Toni Morrison, Industrial Revolution begins",1,0,gemini:gemini-2.0-flash
run_0007,Name events that happened over 3 times.,count.over_x,None,None,None,1,1,gemini:gemini-2.0-flash
run_0007,Which events have the same occurrence count?,count.same,"Selma to Montgomery Marches, War and Peace published, Human genome project completed, Euro currency introduced, League of Nations founded, Nobel to Toni Morrison, South Sea Bubble bursts, American Civil War ends, First Commercial Jet Flight, Industrial Revolution begins, First Daytona 500 race",None,None,0,0,gemini:gemini-2.0-flash
run_0007,What is the duration between the end of League of Nations founded and the start of Euro currency introduced?,int.between,0 days,15 days,14 days,0,0,gemini:gemini-2.0-flash
run_0007,Count of events in the timeline?,order.count,11,11,10,1,0,gemini:gemini-2.0-flash
run_0007,What event sits at the midpoint of the timeline?,order.middle,Nobel to Toni Morrison,Human genome project completed,Industrial Revolution begins,0,0,gemini:gemini-2.0-flash
run_0007,What is the average duration of all events?,dur.average,18 days,22 days,17 days,0,1,gemini:gemini-2.0-flash
run_0007,"Which events, sorted by increasing duration, occurred?",dur.each_asc,"First Daytona 500 race, American Civil War ends, Nobel to Toni Morrison, Human genome project completed, Selma to Montgomery Marches, League of Nations founded, Euro currency introduced, First Commercial Jet Flight, War and Peace published, Industrial Revolution begins, South Sea Bubble bursts","First Daytona 500 race, American Civil War ends, Nobel to Toni Morrison, League of Nations founded, Euro currency introduced, Human genome project completed, War and Peace published, Industrial Revolution begins, First Commercial Jet Flight, South Sea Bubble bursts, Selma to Montgomery Marches","First Daytona 500 race, American Civil War ends, Nobel to Toni Morrison, Human genome project completed, Euro currency introduced, League of Nations founded, First Commercial Jet Flight, War and Peace published, Industrial Revolution begins, South Sea Bubble bursts, Selma to Montgomery Marches",0,0,gemini:gemini-2.0-flash
run_0007,Order the events by longest to shortest duration.,dur.each_desc,"South Sea Bubble bursts, War and Peace published, Industrial Revolution begins, First Commercial Jet Flight, Euro currency introduced, League of Nations founded, Selma to Montgomery Marches, Human genome project completed, Nobel to Toni Morrison, American Civil War ends, First Daytona 500 race","South Sea Bubble bursts, War and Peace published, Euro currency introduced, Human genome project completed, League of Nations founded, Industrial Revolution begins, First Commercial Jet Flight, Nobel to Toni Morrison, American Civil War ends, Selma to Montgomery Marches, First Daytona 500 race","South Sea Bubble bursts, Euro currency introduced, First Commercial Jet Flight, War and Peace published, League of Nations founded, Human genome project completed, Nobel to Toni Morrison, American Civil War ends, Selma to Montgomery Marches, Industrial Revolution begins, First Daytona 500 race",0,0,gemini:gemini-2.0-flash
run_0007,List the days between each pair of consecutive events.,int.between_consecutive,"11 days, 14 days, 3 days, 5 days, 4 days, 18 days, 15 days, 14 days, 12 days, 14 days","42 days, 76 days, 4 days, 130 days, 14 days, 14 days, 11 days, 10 days, 20 days, 10 days","12 days, 15 days, 15 days, 6 days, 19 days, 16 days, 15 days, 13 days, 15 days",0,0,gemini:gemini-2.0-flash
run_0007,Does Euro currency introduced precede South Sea Bubble bursts?,int.precedes,yes,Yes,Yes,1,1,gemini:gemini-2.0-flash
run_0007,Identify events between Industrial Revolution begins and American Civil War ends.,list.between,First Commercial Jet Flight,None,First Daytona 500 race,0,0,gemini:gemini-2.0-flash
