fact_id,question,template,gold_answer,direct_model_answer,relative_model_answer,direct_correct,relative_correct,model
run_0007,List the events in chronological order.,order.full,"Selma to Montgomery Marches, War and Peace published, Human genome project completed, Euro currency introduced, League of Nations founded, Nobel to Toni Morrison, South Sea Bubble bursts, American Civil War ends, First Commercial Jet Flight, Industrial Revolution begins, First Daytona 500 race","Selma to Montgomery Marches, War and Peace published, Human genome project completed, Euro currency introduced, League of Nations founded, Nobel to Toni Morrison, South Sea Bubble bursts, American Civil War ends, First Commercial Jet Flight, Industrial Revolution begins, First Daytona 500 race","Selma to Montgomery Marches, War and Peace published, Human genome project completed, Euro currency introduced, League of Nations founded, Nobel to Toni Morrison, South Sea Bubble bursts, American Civil War ends, First Commercial Jet Flight, Industrial Revolution begins, First Daytona 500 race",1,1,gemini:gemini-2.0-flash
run_0007,What is the reverse order of the events?,order.reverse,"First Daytona 500 race, Industrial Revolution begins, First Commercial Jet Flight, American Civil War ends, South Sea Bubble bursts, Nobel to Toni Morrison, League of Nations founded, Euro currency introduced, Human genome project completed, War and Peace published, Selma to Montgomery Marches","Industrial Revolution begins, First Daytona 500 race, First Commercial Jet Flight, American Civil War ends, South Sea Bubble bursts, Nobel to Toni Morrison, League of Nations founded, Euro currency introduced, Human genome project completed, War and Peace published, Selma to Montgomery Marches","Human genome project completed, Euro currency introduced, League of Nations founded, Nobel to Toni Morrison, South Sea Bubble bursts, American Civil War ends, First Commercial Jet Flight, Industrial Revolution begins, First Daytona 500 race, War and Peace published, Selma to Montgomery Marches",0,0,gemini:gemini-2.0-flash
run_0007,Tell me the 1st event in order.,order.nth,Selma to Montgomery Marches,Selma to Montgomery Marches,Selma to Montgomery Marches,1,1,gemini:gemini-2.0-flash
run_0007,What was the duration of League of Nations founded?,dur.single,20 days,20 days,20 days,1,1,gemini:gemini-2.0-flash
run_0007,What event had the maximum duration?,dur.longest,South Sea Bubble bursts,South Sea Bubble bursts,South Sea Bubble bursts,1,1,gemini:gemini-2.0-flash
run_0007,Identify the shortest-lasting event.,dur.shortest,First Daytona 500 race,First Daytona 500 race,First Daytona 500 race,1,1,gemini:gemini-2.0-flash
run_0007,"What occurred earlier, Human genome project completed or American Civil War ends?",order.first,Human genome project completed,Human genome project completed,American Civil War ends,1,0,gemini:gemini-2.0-flash
run_0007,Which events are at the start and end of the timeline?,order.first_last,"Selma to Montgomery Marches, First Daytona 500 race","Selma to Montgomery Marches, First Daytona 500 race","Nobel to Toni Morrison, Industrial Revolution begins",1,0,gemini:gemini-2.0-flash
run_0007,Name events that happened over 3 times.,count.over_x,,,,1,1,gemini:gemini-2.0-flash
run_0007,Which events have the same occurrence count?,count.same,"Selma to Montgomery Marches, War and Peace published, Human genome project completed, Euro currency introduced, League of Nations founded, Nobel to Toni Morrison, South Sea Bubble bursts, American Civil War ends, First Commercial Jet Flight, Industrial Revolution begins, First Daytona 500 race",,,0,0,gemini:gemini-2.0-flash
run_0007,What is the duration between the end of League of Nations founded and the start of Euro currency introduced?,int.between,0 days,15 days,14 days,0,0,gemini:gemini-2.0-flash
run_0007,Count of events in the timeline?,order.count,11,11,10,1,0,gemini:gemini-2.0-flash
run_0007,What event sits at the midpoint of the timeline?,order.middle,Nobel to Toni Morrison,Human genome project completed,Industrial Revolution begins,0,0,gemini:gemini-2.0-flash
run_0007,What is the average duration of all events?,dur.average,18 days,22 days,17 days,0,1,gemini:gemini-2.0-flash
run_0007,"Which events, sorted by increasing duration, occurred?",dur.each_asc,"First Daytona 500 race, American Civil War ends, Nobel to Toni Morrison, Human genome project completed, Selma to Montgomery Marches, League of Nations founded, Euro currency introduced, First Commercial Jet Flight, War and Peace published, Industrial Revolution begins, South Sea Bubble bursts","First Daytona 500 race, American Civil War ends, Nobel to Toni Morrison, League of Nations founded, Euro currency introduced, Human genome project completed, War and Peace published, Industrial Revolution begins, First Commercial Jet Flight, South Sea Bubble bursts, Selma to Montgomery Marches","First Daytona 500 race, American Civil War ends, Nobel to Toni Morrison, Human genome project completed, Euro currency introduced, League of Nations founded, First Commercial Jet Flight, War and Peace published, Industrial Revolution begins, South Sea Bubble bursts, Selma to Montgomery Marches",0,0,gemini:gemini-2.0-flash
run_0007,Order the events by longest to shortest duration.,dur.each_desc,"South Sea Bubble bursts, War and Peace published, Industrial Revolution begins, First Commercial Jet Flight, Euro currency introduced, League of Nations founded, Selma to Montgomery Marches, Human genome project completed, Nobel to Toni Morrison, American Civil War ends, First Daytona 500 race","South Sea Bubble bursts, War and Peace published, Euro currency introduced, Human genome project completed, League of Nations founded, Industrial Revolution begins, First Commercial Jet Flight, Nobel to Toni Morrison, American Civil War ends, Selma to Montgomery Marches, First Daytona 500 race","South Sea Bubble bursts, Euro currency introduced, First Commercial Jet Flight, War and Peace published, League of Nations founded, Human genome project completed, Nobel to Toni Morrison, American Civil War ends, Selma to Montgomery Marches, Industrial Revolution begins, First Daytona 500 race",0,0,gemini:gemini-2.0-flash
run_0007,List the days between each pair of consecutive events.,int.between_consecutive,"11 days, 14 days, 3 days, 5 days, 4 days, 18 days, 15 days, 14 days, 12 days, 14 days","42 days, 76 days, 4 days, 130 days, 14 days, 14 days, 11 days, 10 days, 20 days, 10 days","12 days, 15 days, 15 days, 6 days, 19 days, 16 days, 15 days, 13 days, 15 days",0,0,gemini:gemini-2.0-flash
run_0007,Does Euro currency introduced precede South Sea Bubble bursts?,int.precedes,yes,Yes,Yes,1,1,gemini:gemini-2.0-flash
run_0007,Identify events between Industrial Revolution begins and American Civil War ends.,list.between,First Commercial Jet Flight,,First Daytona 500 race,0,0,gemini:gemini-2.0-flash
run_0008,Provide the events from earliest to latest.,order.full,"Leaves of Grass released, Mount Tambora eruption, First Charter School Law Passed, Don't Ask, Don't Tell Repealed, First Email Sent, First 3D printed organ, New Horizons launched to Pluto, First Olympic Games held, First Television Broadcast, Australian bushfires, Defense of Marriage Act Repealed","Leaves of Grass released, Mount Tambora eruption, First Charter School Law Passed, Don't Ask, Don't Tell Repealed, First Email Sent, First 3D printed organ, New Horizons launched to Pluto, First Olympic Games held, First Television Broadcast, Australian bushfires, Defense of Marriage Act Repealed","Mount Tambora eruption, Leaves of Grass released, First Charter School Law Passed, Don't Ask, Don't Tell Repealed, First Email Sent, First 3D printed organ, New Horizons launched to Pluto, First Olympic Games held, First Television Broadcast, Australian bushfires, Defense of Marriage Act Repealed",1,0,gemini:gemini-2.0-flash
run_0008,Provide the events from latest to earliest.,order.reverse,"Defense of Marriage Act Repealed, Australian bushfires, First Television Broadcast, First Olympic Games held, New Horizons launched to Pluto, First 3D printed organ, First Email Sent, Don't Ask, Don't Tell Repealed, First Charter School Law Passed, Mount Tambora eruption, Leaves of Grass released","Defense of Marriage Act Repealed, Australian bushfires, First Television Broadcast, First Olympic Games held, New Horizons launched to Pluto, First 3D printed organ, First Email Sent, Don't Ask, Don't Tell Repealed, First Charter School Law Passed, Mount Tambora eruption, Leaves of Grass released","Defense of Marriage Act Repealed, New Horizons launched to Pluto, First Olympic Games held, Australian bushfires, First 3D printed organ, First Email Sent, Don't Ask, Don't Tell Repealed, First Television Broadcast, First Charter School Law Passed, Mount Tambora eruption, Leaves of Grass released",1,0,gemini:gemini-2.0-flash
run_0008,Tell me the 1st event in order.,order.nth,Leaves of Grass released,Leaves of Grass released,Mount Tambora eruption,1,0,gemini:gemini-2.0-flash
run_0008,"For how many days did Don't Ask, Don't Tell Repealed occur?",dur.single,1 days,1 days,1 days,1,1,gemini:gemini-2.0-flash
run_0008,Which event lasted the longest?,dur.longest,First 3D printed organ,New Horizons launched to Pluto,First 3D printed organ,0,1,gemini:gemini-2.0-flash
run_0008,What event had the minimum duration?,dur.shortest,"Don't Ask, Don't Tell Repealed","Don't Ask, Don't Tell Repealed","Don't Ask, Don't Tell Repealed",1,1,gemini:gemini-2.0-flash
run_0008,"Which event came first: Don't Ask, Don't Tell Repealed or Australian bushfires?",order.first,"Don't Ask, Don't Tell Repealed","Don't Ask, Don't Tell Repealed","Don't Ask, Don't Tell Repealed",1,1,gemini:gemini-2.0-flash
run_0008,What is the first and last event?,order.first_last,"Leaves of Grass released, Defense of Marriage Act Repealed","Leaves of Grass released, Defense of Marriage Act Repealed","Mount Tambora eruption, Defense of Marriage Act Repealed",1,0,gemini:gemini-2.0-flash
run_0008,Name events that happened over 1 times.,count.over_x,,"Mount Tambora eruption, New Horizons launched to Pluto, First Television Broadcast, First Olympic Games held, First Email Sent, Leaves of Grass released, First Charter School Law Passed, Don't Ask, Don't Tell Repealed, Defense of Marriage Act Repealed, First 3D printed organ, Australian bushfires","Australian bushfires, First 3D printed organ, First Charter School Law Passed, First Email Sent, First Olympic Games held, First Television Broadcast, Mount Tambora eruption, New Horizons launched to Pluto",0,0,gemini:gemini-2.0-flash
run_0008,List events that occurred equally often.,count.same,"Leaves of Grass released, Mount Tambora eruption, First Charter School Law Passed, Don't Ask, Don't Tell Repealed, First Email Sent, First 3D printed organ, New Horizons launched to Pluto, First Olympic Games held, First Television Broadcast, Australian bushfires, Defense of Marriage Act Repealed",,,0,0,gemini:gemini-2.0-flash
run_0008,Days between end of Leaves of Grass released and start of Mount Tambora eruption?,int.between,5 days,6 days,6 days,1,1,gemini:gemini-2.0-flash
run_0008,Total number of events?,order.count,11,11,10,1,0,gemini:gemini-2.0-flash
run_0008,Identify the middle event chronologically.,order.middle,First 3D printed organ,First Olympic Games held,First Email Sent,0,0,gemini:gemini-2.0-flash
run_0008,Compute the mean event duration.,dur.average,15 days,20 days,13 days,0,0,gemini:gemini-2.0-flash
run_0008,Order the events by shortest to longest duration.,dur.each_asc,"Don't Ask, Don't Tell Repealed, Defense of Marriage Act Repealed, First Television Broadcast, Mount Tambora eruption, First Charter School Law Passed, First Olympic Games held, Australian bushfires, Leaves of Grass released, First Email Sent, New Horizons launched to Pluto, First 3D printed organ","Don't Ask, Don't Tell Repealed, Defense of Marriage Act Repealed, First Television Broadcast, Australian bushfires, Mount Tambora eruption, Leaves of Grass released, First Charter School Law Passed, First Email Sent, First 3D printed organ, New Horizons launched to Pluto, First Olympic Games held","Don't Ask, Don't Tell Repealed, Defense of Marriage Act Repealed, First Television Broadcast, Mount Tambora eruption, First Charter School Law Passed, First Olympic Games held, Australian bushfires, First Email Sent, New Horizons launched to Pluto, First 3D printed organ, Leaves of Grass released",0,1,gemini:gemini-2.0-flash
run_0008,Order the events by longest to shortest duration.,dur.each_desc,"First 3D printed organ, New Horizons launched to Pluto, First Email Sent, Leaves of Grass released, Australian bushfires, First Olympic Games held, First Charter School Law Passed, Mount Tambora eruption, First Television Broadcast, Defense of Marriage Act Repealed, Don't Ask, Don't Tell Repealed","New Horizons launched to Pluto, First Olympic Games held, First 3D printed organ, First Email Sent, Australian bushfires, Mount Tambora eruption, First Charter School Law Passed, First Television Broadcast, Defense of Marriage Act Repealed, Don't Ask, Don't Tell Repealed, Leaves of Grass released","First 3D printed organ, New Horizons launched to Pluto, Australian bushfires, First Olympic Games held, First Email Sent, First Charter School Law Passed, Mount Tambora eruption, Defense of Marriage Act Repealed, First Television Broadcast, Don't Ask, Don't Tell Repealed",0,0,gemini:gemini-2.0-flash
run_0008,List the days between each pair of consecutive events.,int.between_consecutive,"5 days, 14 days, 5 days, 10 days, 11 days, 14 days, 8 days, 14 days, 9 days, 0 days","15 days, 119 days, 49 days, 16 days, 15 days, 10 days, 11 days, 11 days, 11 days, 11 days","15 days, 6 days, 9 days, 15 days, 12 days, 15 days, 1 days, 10 days, 1 days, 11 days",0,0,gemini:gemini-2.0-flash
run_0008,Does First Charter School Law Passed occur before Mount Tambora eruption?,int.precedes,no,No,Yes,1,0,gemini:gemini-2.0-flash
run_0008,Identify events between First Olympic Games held and First Television Broadcast.,list.between,,New Horizons launched to Pluto,,0,1,gemini:gemini-2.0-flash
run_0009,List the events in chronological order.,order.full,"First World Series played, Aspirin patented, Women's Suffrage in U.S., Mars rover Spirit lands, First Podcast Released, First Commercial Jet Flight, First rover on Mars, Individuals with Disabilities Education Act, Wealth of Nations published, Sputnik 1 launched, Introduction of High-Speed Rail","First World Series played, Aspirin patented, Women's Suffrage in U.S., Mars rover Spirit lands, First Podcast Released, First Commercial Jet Flight, First rover on Mars, Individuals with Disabilities Education Act, Wealth of Nations published, Sputnik 1 launched, Introduction of High-Speed Rail","First World Series played, Aspirin patented, Women's Suffrage in U.S., Mars rover Spirit lands, First Podcast Released, First Commercial Jet Flight, First rover on Mars, Individuals with Disabilities Education Act, Wealth of Nations published, Sputnik 1 launched, Introduction of High-Speed Rail",1,1,gemini:gemini-2.0-flash
run_0009,Provide the events from latest to earliest.,order.reverse,"Introduction of High-Speed Rail, Sputnik 1 launched, Wealth of Nations published, Individuals with Disabilities Education Act, First rover on Mars, First Commercial Jet Flight, First Podcast Released, Mars rover Spirit lands, Women's Suffrage in U.S., Aspirin patented, First World Series played","Wealth of Nations published, Sputnik 1 launched, Introduction of High-Speed Rail, Individuals with Disabilities Education Act, First rover on Mars, First Commercial Jet Flight, First Podcast Released, Mars rover Spirit lands, Women's Suffrage in U.S., Aspirin patented, First World Series played","Wealth of Nations published, First Commercial Jet Flight, First Podcast Released, Mars rover Spirit lands, Sputnik 1 launched, Introduction of High-Speed Rail, First rover on Mars, Individuals with Disabilities Education Act, Aspirin patented, Women's Suffrage in U.S., First World Series played",0,0,gemini:gemini-2.0-flash
run_0009,Identify the 7th event chronologically.,order.nth,First rover on Mars,First rover on Mars,First Podcast Released,1,0,gemini:gemini-2.0-flash
run_0009,Duration of Sputnik 1 launched?,dur.single,14 days,14 days,14 days,1,1,gemini:gemini-2.0-flash
run_0009,Which event lasted the longest?,dur.longest,Introduction of High-Speed Rail,Introduction of High-Speed Rail,Introduction of High-Speed Rail,1,1,gemini:gemini-2.0-flash
run_0009,Identify the shortest-lasting event.,dur.shortest,Mars rover Spirit lands,Mars rover Spirit lands,"First Commercial Jet Flight, Mars rover Spirit lands",1,0,gemini:gemini-2.0-flash
run_0009,Which event came first: Introduction of High-Speed Rail or Individuals with Disabilities Education Act?,order.first,Individuals with Disabilities Education Act,Individuals with Disabilities Education Act,Individuals with Disabilities Education Act,1,1,gemini:gemini-2.0-flash
run_0009,Which events are at the start and end of the timeline?,order.first_last,"First World Series played, Introduction of High-Speed Rail","First World Series played, Introduction of High-Speed Rail","Individuals with Disabilities Education Act, Wealth of Nations published",1,0,gemini:gemini-2.0-flash
run_0009,Which items exceed 3 occurrences?,count.over_x,,,,1,1,gemini:gemini-2.0-flash
run_0009,Identify events sharing the same frequency.,count.same,"First World Series played, Aspirin patented, Women's Suffrage in U.S., Mars rover Spirit lands, First Podcast Released, First Commercial Jet Flight, First rover on Mars, Individuals with Disabilities Education Act, Wealth of Nations published, Sputnik 1 launched, Introduction of High-Speed Rail","First Commercial Jet Flight, Mars rover Spirit lands",,0,0,gemini:gemini-2.0-flash
run_0009,Interval between First World Series played end and First Commercial Jet Flight start?,int.between,119 days,120 days,104 days,1,0,gemini:gemini-2.0-flash
run_0009,Total number of events?,order.count,11,11,10,1,0,gemini:gemini-2.0-flash
