timestamp,dataset_path,variant,question_id,model,prompt_tokens,completion_tokens,latency_sec,gold_answer,model_answer,correct
2025-04-22T06:49:34,processed_testcases\timeline_fd782397_direct.json,direct,1,gpt-4,638,125,6.02,EU founded (Maastricht Treaty) -> American Civil War begins -> Battle of Hastings -> Indian Independence -> Founding of the United Nations -> Formation of the Soviet Union -> American Civil War ends -> Congress of Berlin -> Iranian Revolution -> Battle of Waterloo -> End of Apartheid -> Assassination of John F. Kennedy -> French Revolution begins -> COVIDâ€‘19 WHO pandemic declaration -> Taliban takeover of Kabul -> Russian Revolution ends -> Brexit Referendum -> Moon Landing -> Dissolution of the Soviet Union -> Donald Trump inaugurated -> Barack Obama elected US President -> Suez Crisis -> Korean War begins -> Civil Rights Act signed,"EU founded (Maastricht Treaty), American Civil War begins, Battle of Hastings, Indian Independence, Founding of the United Nations, Formation of the Soviet Union, American Civil War ends, Congress of Berlin, Iranian Revolution, Battle of Waterloo, End of Apartheid, Assassination of John F. Kennedy, French Revolution begins, COVIDâ€‘19 WHO pandemic declaration, Taliban takeover of Kabul, Russian Revolution ends, Brexit Referendum, Moon Landing, Dissolution of the Soviet Union, Donald Trump inaugurated, Barack Obama elected US President, Suez Crisis, Korean War begins, Civil Rights Act signed.",0
2025-04-22T06:49:40,processed_testcases\timeline_fd782397_direct.json,direct,2,gpt-4,639,125,5.64,Civil Rights Act signed -> Korean War begins -> Suez Crisis -> Barack Obama elected US President -> Donald Trump inaugurated -> Dissolution of the Soviet Union -> Moon Landing -> Brexit Referendum -> Russian Revolution ends -> Taliban takeover of Kabul -> COVIDâ€‘19 WHO pandemic declaration -> French Revolution begins -> Assassination of John F. Kennedy -> End of Apartheid -> Battle of Waterloo -> Iranian Revolution -> Congress of Berlin -> American Civil War ends -> Formation of the Soviet Union -> Founding of the United Nations -> Indian Independence -> Battle of Hastings -> American Civil War begins -> EU founded (Maastricht Treaty),"Civil Rights Act signed, Korean War begins, Suez Crisis, Barack Obama elected US President, Donald Trump inaugurated, Dissolution of the Soviet Union, Moon Landing, Brexit Referendum, Russian Revolution ends, Taliban takeover of Kabul, COVIDâ€‘19 WHO pandemic declaration, French Revolution begins, Assassination of John F. Kennedy, End of Apartheid, Battle of Waterloo, Iranian Revolution, Congress of Berlin, American Civil War ends, Formation of the Soviet Union, Founding of the United Nations, Indian Independence, Battle of Hastings, American Civil War begins, EU founded (Maastricht Treaty).",0
2025-04-22T06:49:41,processed_testcases\timeline_fd782397_direct.json,direct,3,gpt-4,641,4,0.55,Korean War begins,Suez Crisis,0
2025-04-22T06:49:41,processed_testcases\timeline_fd782397_direct.json,direct,4,gpt-4,642,3,0.42,11 days,11 days,1
2025-04-22T06:49:42,processed_testcases\timeline_fd782397_direct.json,direct,5,gpt-4,637,6,0.71,French Revolution begins,End of Apartheid,0
2025-04-22T06:49:42,processed_testcases\timeline_fd782397_direct.json,direct,6,gpt-4,652,2,0.50,-316 days,385,0
2025-04-22T06:49:47,processed_testcases\timeline_fd782397_relative.json,relative,1,gpt-4,528,125,5.05,EU founded (Maastricht Treaty) -> American Civil War begins -> Battle of Hastings -> Indian Independence -> Founding of the United Nations -> Formation of the Soviet Union -> American Civil War ends -> Congress of Berlin -> Iranian Revolution -> Battle of Waterloo -> End of Apartheid -> Assassination of John F. Kennedy -> French Revolution begins -> COVIDâ€‘19 WHO pandemic declaration -> Taliban takeover of Kabul -> Russian Revolution ends -> Brexit Referendum -> Moon Landing -> Dissolution of the Soviet Union -> Donald Trump inaugurated -> Barack Obama elected US President -> Suez Crisis -> Korean War begins -> Civil Rights Act signed,"EU founded (Maastricht Treaty), American Civil War begins, Battle of Hastings, Indian Independence, Founding of the United Nations, Formation of the Soviet Union, American Civil War ends, Congress of Berlin, Iranian Revolution, Battle of Waterloo, End of Apartheid, Assassination of John F. Kennedy, French Revolution begins, COVIDâ€‘19 WHO pandemic declaration, Taliban takeover of Kabul, Russian Revolution ends, Brexit Referendum, Moon Landing, Dissolution of the Soviet Union, Donald Trump inaugurated, Barack Obama elected US President, Suez Crisis, Korean War begins, Civil Rights Act signed.",0
2025-04-22T06:49:52,processed_testcases\timeline_fd782397_relative.json,relative,2,gpt-4,529,125,4.52,Civil Rights Act signed -> Korean War begins -> Suez Crisis -> Barack Obama elected US President -> Donald Trump inaugurated -> Dissolution of the Soviet Union -> Moon Landing -> Brexit Referendum -> Russian Revolution ends -> Taliban takeover of Kabul -> COVIDâ€‘19 WHO pandemic declaration -> French Revolution begins -> Assassination of John F. Kennedy -> End of Apartheid -> Battle of Waterloo -> Iranian Revolution -> Congress of Berlin -> American Civil War ends -> Formation of the Soviet Union -> Founding of the United Nations -> Indian Independence -> Battle of Hastings -> American Civil War begins -> EU founded (Maastricht Treaty),"Civil Rights Act signed, Korean War begins, Suez Crisis, Barack Obama elected US President, Donald Trump inaugurated, Dissolution of the Soviet Union, Moon Landing, Brexit Referendum, Russian Revolution ends, Taliban takeover of Kabul, COVIDâ€‘19 WHO pandemic declaration, French Revolution begins, Assassination of John F. Kennedy, End of Apartheid, Battle of Waterloo, Iranian Revolution, Congress of Berlin, American Civil War ends, Formation of the Soviet Union, Founding of the United Nations, Indian Independence, Battle of Hastings, American Civil War begins, EU founded (Maastricht Treaty).",0
2025-04-22T06:49:53,processed_testcases\timeline_fd782397_relative.json,relative,3,gpt-4,531,5,1.53,Korean War begins,Civil Rights Act signed,0
2025-04-22T06:49:54,processed_testcases\timeline_fd782397_relative.json,relative,4,gpt-4,532,3,0.81,11 days,11 days,1
2025-04-22T06:49:55,processed_testcases\timeline_fd782397_relative.json,relative,5,gpt-4,527,4,0.58,French Revolution begins,French Revolution begins,1
2025-04-22T06:49:55,processed_testcases\timeline_fd782397_relative.json,relative,6,gpt-4,542,3,0.56,-316 days,105 days,0
